GEO_ID|B01003_E001|B01003_M001
1400000US36047022900|3425|643
1400000US36047023000|4887|1178
1400000US36047023100|3546|460
1400000US36047023200|6648|1278
1400000US36047023300|6804|1200
1400000US36047023400|5558|932
1400000US36047023500|5578|1001
1400000US36047023600|5846|1153
1400000US36047023800|5200|910
1400000US36047024000|6413|1095
1400000US36047024100|2975|706
1400000US36047024200|3026|585
1400000US36047024300|4300|759
1400000US36047024400|3697|729
1400000US36047024500|4437|546
1400000US36047024600|3489|657
1400000US36047024700|2499|408
1400000US36047024800|2476|473
1400000US36047024900|3992|630
1400000US36047025000|1679|476
1400000US36047025100|3687|655
1400000US36047025200|4847|689
1400000US36047025300|3375|574
1400000US36047025400|2992|866
1400000US36047025500|4922|613
1400000US36047025600|3114|758
1400000US36047025700|3279|641
1400000US36047025800|4482|721
1400000US36047025901|2163|328
1400000US36047025902|3611|690
1400000US36047026000|3076|578
1400000US36047026100|5459|764
1400000US36047026200|2626|522
1400000US36047026300|2270|394
1400000US36047026400|4732|698
1400000US36047026500|4163|596
1400000US36047026600|3408|514
1400000US36047026700|3950|547
1400000US36047026800|4280|678
1400000US36047026900|3124|726
1400000US36047027000|2496|487
1400000US36047027100|3740|611
1400000US36047027200|3993|528
1400000US36047027300|4071|957
1400000US36047027400|3159|632
1400000US36047027500|5303|1166
1400000US36047027600|3791|634
1400000US36047027700|4294|683
1400000US36047027800|3086|489
1400000US36047027900|4161|606
1400000US36047028000|1686|294
1400000US36047028100|5094|1044
1400000US36047028200|2960|586
1400000US36047028300|4098|689
1400000US36047028400|3686|548
1400000US36047028501|427|114
1400000US36047028502|3303|613
1400000US36047028600|5171|1071
1400000US36047028700|3353|573
1400000US36047028800|3799|863
1400000US36047028900|4261|796
1400000US36047029000|3301|500
1400000US36047029100|3368|495
1400000US36047029200|2668|339
1400000US36047029300|3284|520
1400000US36047029400|2143|425
1400000US36047029500|4011|747
1400000US36047029600|6128|1011
1400000US36047029700|4099|635
1400000US36047029800|3997|624
1400000US36047029900|2483|608
1400000US36047030000|4222|718
1400000US36047030100|3182|709
1400000US36047030200|3899|571
1400000US36047030300|5748|708
1400000US36047030400|3924|467
1400000US36047030500|7181|765
1400000US36047030600|1953|297
1400000US36047030700|6571|998
1400000US36047030800|1678|290
1400000US36047030900|2447|478
1400000US36047031100|3389|589
1400000US36047031300|4346|826
1400000US36047031401|4938|1030
1400000US36047031402|0|13
1400000US36047031500|5136|722
1400000US36047031701|4150|843
1400000US36047031702|3812|660
1400000US36047031900|3356|649
1400000US36047032100|5140|656
1400000US36047032300|3505|808
1400000US36047032500|6057|1036
1400000US36047032600|10085|1997
1400000US36047032700|2701|497
1400000US36047032800|2751|391
1400000US36047032900|5901|1511
1400000US36047033000|4283|733
1400000US36047033100|4171|686
1400000US36047033300|4779|1056
1400000US36047033500|3522|510
1400000US36047033600|4734|839
1400000US36047033701|2755|651
1400000US36047033702|1847|246
1400000US36047033900|4936|543
1400000US36047034000|2045|239
1400000US36047034100|2666|401
1400000US36047034200|6490|1580
1400000US36047034300|4489|794
1400000US36047034500|2669|671
1400000US36047034700|3157|416
1400000US36047034800|2852|515
1400000US36047034901|2339|384
1400000US36047034902|3499|699
1400000US36047035000|3082|467
1400000US36047035101|1805|452
1400000US36047035102|3253|778
1400000US36047035200|1431|192
1400000US36047035301|3002|562
1400000US36047035302|3189|480
1400000US36047035400|5366|820
1400000US36047035500|5515|647
1400000US36047035601|2640|328
1400000US36047035602|6721|812
1400000US36047035701|2657|483
1400000US36047035702|0|13
1400000US36047035900|6665|968
1400000US36047036001|2972|357
1400000US36047036002|3777|548
1400000US36047036100|2902|447
1400000US36047036200|3343|536
1400000US36047036300|4909|982
1400000US36047036400|2298|405
1400000US36047036501|3467|678
1400000US36047036502|2014|581
1400000US36047036600|4369|848
1400000US36047036700|1982|608
1400000US36047036900|5310|972
1400000US36047037000|4112|601
1400000US36047037100|4723|755
1400000US36047037300|5258|732
1400000US36047037401|4646|734
1400000US36047037402|5449|917
1400000US36047037500|3643|563
1400000US36047037700|4893|660
1400000US36047037900|4834|887
1400000US36047038100|5624|650
1400000US36047038200|5261|909
1400000US36047038300|5456|743
1400000US36047038500|3895|806
1400000US36047038600|3102|695
1400000US36047038700|4830|1021
1400000US36047038800|4999|852
1400000US36047038900|2829|569
1400000US36047039000|2672|500
1400000US36047039100|5243|653
1400000US36047039200|3441|736
1400000US36047039300|3868|764
1400000US36047039400|2076|436
1400000US36047039500|3845|664
1400000US36047039600|1987|494
1400000US36047039700|3316|655
1400000US36047039800|2855|521
1400000US36047039900|4164|648
1400000US36047040000|2192|667
1400000US36047040100|3552|623
1400000US36047040200|2570|473
1400000US36047040300|4086|629
