GEO_ID|B05009_E001|B05009_M001|B05009_E002|B05009_M002|B05009_E003|B05009_M003|B05009_E004|B05009_M004|B05009_E005|B05009_M005|B05009_E006|B05009_M006|B05009_E007|B05009_M007|B05009_E008|B05009_M008|B05009_E009|B05009_M009|B05009_E010|B05009_M010|B05009_E011|B05009_M011|B05009_E012|B05009_M012|B05009_E013|B05009_M013|B05009_E014|B05009_M014|B05009_E015|B05009_M015|B05009_E016|B05009_M016|B05009_E017|B05009_M017|B05009_E018|B05009_M018|B05009_E019|B05009_M019|B05009_E020|B05009_M020|B05009_E021|B05009_M021|B05009_E022|B05009_M022|B05009_E023|B05009_M023|B05009_E024|B05009_M024|B05009_E025|B05009_M025|B05009_E026|B05009_M026|B05009_E027|B05009_M027|B05009_E028|B05009_M028|B05009_E029|B05009_M029|B05009_E030|B05009_M030|B05009_E031|B05009_M031|B05009_E032|B05009_M032|B05009_E033|B05009_M033|B05009_E034|B05009_M034|B05009_E035|B05009_M035|B05009_E036|B05009_M036|B05009_E037|B05009_M037
1400000US36047018600|261|79|15|16|15|16|15|16|0|13|0|13|0|13|0|13|0|13|15|16|15|16|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|246|79|155|67|149|68|6|10|21|29|102|63|96|63|6|10|32|34|32|34|0|13|91|52|91|52|0|13|50|41|41|47|41|47|0|13
1400000US36047018700|162|67|84|59|84|59|84|59|0|13|55|55|0|13|0|13|0|13|29|36|29|36|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|78|49|67|49|67|49|0|13|11|16|18|19|18|19|0|13|38|39|38|39|0|13|11|16|11|16|0|13|11|16|0|13|0|13|0|13
1400000US36047018800|459|128|134|88|96|74|96|74|0|13|52|61|35|45|35|45|0|13|9|15|9|15|0|13|38|42|38|42|0|13|22|36|16|24|16|24|0|13|325|108|88|71|85|69|3|10|0|13|78|69|75|67|3|10|10|15|10|15|0|13|237|135|212|127|25|40|86|72|151|97|126|98|25|40
1400000US36047019000|721|329|389|248|213|190|213|190|0|13|77|59|136|183|136|183|0|13|0|13|0|13|0|13|176|169|125|120|51|68|54|74|122|161|71|104|51|68|332|161|164|92|133|78|31|35|49|47|115|87|84|66|31|35|0|13|0|13|0|13|168|142|66|75|102|121|36|50|132|133|30|58|102|121
1400000US36047019100|577|184|283|179|193|129|193|129|0|13|49|72|59|67|59|67|0|13|85|75|85|75|0|13|90|141|90|141|0|13|90|141|0|13|0|13|0|13|294|76|239|79|239|79|0|13|77|117|0|13|0|13|0|13|162|123|162|123|0|13|55|51|55|51|0|13|14|24|41|44|41|44|0|13
1400000US36047019200|1113|394|319|132|252|131|244|131|8|12|109|97|89|79|81|78|8|12|54|46|54|46|0|13|67|53|67|53|0|13|29|28|38|46|38|46|0|13|794|302|687|305|600|242|87|139|140|108|292|225|205|113|87|139|255|197|255|197|0|13|107|62|107|62|0|13|0|13|107|62|107|62|0|13
1400000US36047019300|92|78|53|53|53|53|53|53|0|19|16|29|0|19|0|19|0|19|37|46|37|46|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|39|62|39|62|39|62|0|19|39|62|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19
1400000US36047019400|733|291|235|139|120|92|69|46|51|79|9|14|101|91|50|43|51|79|10|15|10|15|0|13|115|107|115|107|0|13|97|105|18|28|18|28|0|13|498|208|350|210|290|200|60|72|65|45|285|200|225|189|60|72|0|13|0|13|0|13|148|100|90|83|58|58|76|82|72|61|14|22|58|58
1400000US36047019500|643|196|230|106|149|103|149|103|0|13|121|99|12|20|12|20|0|13|16|25|16|25|0|13|81|60|81|60|0|13|49|50|32|35|32|35|0|13|413|130|307|145|307|145|0|13|187|125|14|24|14|24|0|13|106|78|106|78|0|13|106|54|106|54|0|13|106|54|0|13|0|13|0|13
1400000US36047019600|916|281|452|202|359|170|359|170|0|13|5|60|172|151|172|151|0|13|182|158|182|158|0|13|93|124|93|124|0|13|0|13|93|124|93|124|0|13|464|197|335|141|318|137|17|20|81|62|221|129|204|126|17|20|33|57|33|57|0|13|129|98|129|98|0|13|17|29|112|94|112|94|0|13
